table_name,column_name,data_type,is_nullable,description
dash_predictive_insights,id,uuid,NO,"Note:
This is a Primary Key.<pk/>"
dash_predictive_insights,yacht_id,uuid,NO,"Note:
This is a Foreign Key to `yacht_registry.id`"
dash_predictive_insights,equipment_id,uuid,YES,"Note:
This is a Foreign Key to `pms_equipment.id`."
dash_predictive_insights,insight_type,public.insight_type,NO,
dash_predictive_insights,title,text,NO,
dash_predictive_insights,description,text,NO,
dash_predictive_insights,recommendation,text,YES,
dash_predictive_insights,severity,text,YES,
dash_predictive_insights,metadata,jsonb,YES,
dash_predictive_insights,acknowledged,boolean,YES,
dash_predictive_insights,acknowledged_by,uuid,YES,
dash_predictive_insights,acknowledged_at,timestamptz,YES,
dash_predictive_insights,dismissed,boolean,YES,
dash_predictive_insights,dismissed_at,timestamptz,YES,
dash_predictive_insights,expires_at,timestamptz,YES,
dash_predictive_insights,created_at,timestamptz,NO,
pms_crew_certificates,id,uuid,NO,"Note:
This is a Primary Key.<pk/>"
pms_crew_certificates,yacht_id,uuid,NO,"Note:
This is a Foreign Key to `yacht_registry.id`"
pms_crew_certificates,person_node_id,uuid,YES,"Note:
This is a Foreign Key to `search_graph_nodes"
pms_crew_certificates,person_name,text,NO,
pms_crew_certificates,certificate_type,text,NO,
pms_crew_certificates,certificate_number,text,YES,
pms_crew_certificates,issuing_authority,text,YES,
pms_crew_certificates,issue_date,date,YES,
pms_crew_certificates,expiry_date,date,YES,
pms_crew_certificates,document_id,uuid,YES,"Note:
This is a Foreign Key to `doc_metadata.id`.<"
pms_crew_certificates,properties,jsonb,YES,
pms_crew_certificates,created_at,timestamptz,NO,
email_attachment_links,id,uuid,NO,"Note:
This is a Primary Key.<pk/>"
email_attachment_links,yacht_id,uuid,NO,"Note:
This is a Foreign Key to `yacht_registry.id`"
email_attachment_links,message_id,uuid,NO,"Note:
This is a Foreign Key to `email_messages.id`"
email_attachment_links,blob_id,uuid,NO,"Note:
This is a Foreign Key to `email_attachment_b"
email_attachment_links,provider_attachment_id,text,YES,
email_attachment_links,name,text,NO,
email_attachment_links,is_inline,boolean,YES,
email_attachment_links,created_at,timestamptz,YES,
pms_parts,id,uuid,NO,"Note:
This is a Primary Key.<pk/>"
pms_parts,yacht_id,uuid,NO,"Note:
This is a Foreign Key to `yacht_registry.id`"
pms_parts,name,text,NO,
pms_parts,part_number,text,YES,
pms_parts,manufacturer,text,YES,
pms_parts,description,text,YES,
pms_parts,category,text,YES,
pms_parts,model_compatibility,jsonb,YES,Compatible equipment models
pms_parts,metadata,jsonb,YES,
pms_parts,created_at,timestamptz,NO,
pms_parts,updated_at,timestamptz,NO,
pms_parts,search_embedding,public.vector(1536),YES,
pms_parts,embedding_text,text,YES,
pms_parts,quantity_on_hand,integer,NO,Current stock level. Updated by pms_part_usage log
pms_parts,minimum_quantity,integer,YES,Reorder threshold. When quantity_on_hand <= minimu
pms_parts,unit,text,YES,"Unit of measurement (ea, kg, L, m, etc). For trans"
pms_parts,location,text,YES,"Physical location on yacht (e.g., ""Storeroom A - S"
pms_parts,last_counted_at,timestamptz,YES,ACCOUNTABILITY: When was stock last physically cou
pms_parts,last_counted_by,uuid,YES,ACCOUNTABILITY: WHO counted stock. Links to auth.u
pms_parts,min_level,integer,YES,Minimum stock level before reorder alert
pms_parts,reorder_multiple,integer,YES,Order quantity must be multiple of this value
pms_parts,primary_location_id,uuid,YES,"Default storage location for this part

Note:
This"
pms_parts,unit_cost,numeric,YES,Cost per unit in base currency
pms_parts,department,text,YES,"Department responsible (deck, engineering, interio"
pms_parts,is_critical,boolean,YES,Safety-critical part requiring special handling
pms_parts,deleted_at,timestamptz,YES,
pms_parts,deleted_by,uuid,YES,
pms_parts,deletion_reason,text,YES,
pms_parts,desired_quantity,integer,YES,
pms_parts,photo_paths,text[],YES,Array of storage paths in pms-part-photos bucket. 
entity_definitions,id,uuid,NO,"Note:
This is a Primary Key.<pk/>"
entity_definitions,yacht_id,uuid,YES,
entity_definitions,entity_type,text,NO,
entity_definitions,canonical_name,text,NO,
entity_definitions,aliases,text[],YES,
entity_definitions,category,text,YES,
entity_definitions,metadata,jsonb,YES,
entity_definitions,extraction_patterns,text[],YES,
entity_definitions,priority,integer,YES,
entity_definitions,active,boolean,YES,
entity_definitions,created_at,timestamptz,NO,
v_low_stock_report,part_id,uuid,YES,"Note:
This is a Primary Key.<pk/>"
v_low_stock_report,yacht_id,uuid,YES,"Note:
This is a Foreign Key to `yacht_registry.id`"
v_low_stock_report,part_name,text,YES,
v_low_stock_report,part_number,text,YES,
v_low_stock_report,is_critical,boolean,YES,
v_low_stock_report,on_hand,integer,YES,
v_low_stock_report,min_level,integer,YES,
v_low_stock_report,reorder_multiple,integer,YES,
v_low_stock_report,location,text,YES,
v_low_stock_report,category,text,YES,
v_low_stock_report,department,text,YES,
v_low_stock_report,is_out_of_stock,boolean,YES,
v_low_stock_report,is_low_stock,boolean,YES,
v_low_stock_report,suggested_order_qty,integer,YES,
v_low_stock_report,urgency,text,YES,
pms_receiving_documents,id,uuid,NO,"Note:
This is a Primary Key.<pk/>"
pms_receiving_documents,yacht_id,uuid,NO,"Note:
This is a Foreign Key to `yacht_registry.id`"
pms_receiving_documents,receiving_id,uuid,NO,"Note:
This is a Foreign Key to `pms_receiving.id`."
pms_receiving_documents,document_id,uuid,NO,Foreign key to doc_metadata.id
pms_receiving_documents,doc_type,text,YES,"Document type: invoice, packing_slip, photo"
pms_receiving_documents,comment,text,YES,Inline comment from attach_receiving_image_with_co
pms_receiving_documents,created_at,timestamptz,NO,
dash_action_logs,id,uuid,NO,"Note:
This is a Primary Key.<pk/>"
dash_action_logs,yacht_id,uuid,NO,"Note:
This is a Foreign Key to `yacht_registry.id`"
dash_action_logs,user_id,uuid,YES,
dash_action_logs,action_name,text,NO,
dash_action_logs,action_status,public.action_status,NO,
dash_action_logs,request_payload,jsonb,NO,
dash_action_logs,response_payload,jsonb,YES,
dash_action_logs,context,jsonb,YES,
dash_action_logs,error_code,text,YES,
dash_action_logs,error_message,text,YES,
dash_action_logs,started_at,timestamptz,NO,
dash_action_logs,completed_at,timestamptz,YES,
dash_action_logs,duration_ms,integer,YES,
dash_action_logs,source_ip,text,YES,
dash_action_logs,user_agent,text,YES,
dash_action_logs,created_at,timestamptz,NO,
doc_sop_edit_history,id,uuid,NO,"Note:
This is a Primary Key.<pk/>"
doc_sop_edit_history,sop_id,uuid,YES,"Note:
This is a Foreign Key to `doc_sop_procedures"
doc_sop_edit_history,user_id,uuid,YES,
doc_sop_edit_history,original_content,text,NO,
doc_sop_edit_history,edited_content,text,NO,
doc_sop_edit_history,edit_count,integer,YES,
doc_sop_edit_history,created_at,timestamptz,YES,
ledger_day_anchors,id,uuid,NO,"Note:
This is a Primary Key.<pk/>"
ledger_day_anchors,yacht_id,uuid,NO,
ledger_day_anchors,anchor_date,date,NO,
ledger_day_anchors,total_mutations,integer,YES,
ledger_day_anchors,total_reads,integer,YES,
ledger_day_anchors,total_contexts,integer,YES,
ledger_day_anchors,mutation_by_type,jsonb,YES,
ledger_day_anchors,mutations_by_user,jsonb,YES,
ledger_day_anchors,mutations_by_department,jsonb,YES,
ledger_day_anchors,actions_breakdown,jsonb,YES,
ledger_day_anchors,first_event_id,uuid,YES,
ledger_day_anchors,last_event_id,uuid,YES,
ledger_day_anchors,first_event_time,timestamptz,YES,
ledger_day_anchors,last_event_time,timestamptz,YES,
ledger_day_anchors,day_proof_hash,text,YES,
ledger_day_anchors,previous_day_hash,text,YES,
ledger_day_anchors,is_finalized,boolean,YES,
ledger_day_anchors,finalized_at,timestamptz,YES,
ledger_day_anchors,created_at,timestamptz,NO,
ledger_day_anchors,updated_at,timestamptz,NO,
user_action_history,id,uuid,NO,"Note:
This is a Primary Key.<pk/>"
user_action_history,yacht_id,uuid,NO,
user_action_history,user_id,uuid,NO,
user_action_history,action_type,text,NO,
user_action_history,action_description,text,NO,
user_action_history,entity_type,text,NO,
user_action_history,entity_id,uuid,NO,
user_action_history,entity_display_name,text,YES,
user_action_history,action_date,date,NO,
user_action_history,action_hour,integer,NO,
user_action_history,was_via_search,boolean,YES,
user_action_history,search_query,text,YES,
user_action_history,confirmation_id,uuid,YES,
user_action_history,ledger_event_id,uuid,YES,
user_action_history,created_at,timestamptz,NO,
dash_legacy_view,id,uuid,NO,"Note:
This is a Primary Key.<pk/>"
dash_legacy_view,yacht_id,uuid,NO,"Note:
This is a Foreign Key to `yacht_registry.id`"
dash_legacy_view,equipment_overview,jsonb,NO,
dash_legacy_view,equipment_count,integer,YES,
dash_legacy_view,equipment_by_status,jsonb,YES,
dash_legacy_view,work_orders_overview,jsonb,NO,
dash_legacy_view,work_orders_count,integer,YES,
dash_legacy_view,work_orders_by_status,jsonb,YES,
dash_legacy_view,work_orders_overdue_count,integer,YES,
dash_legacy_view,inventory_overview,jsonb,NO,
dash_legacy_view,inventory_count,integer,YES,
dash_legacy_view,inventory_low_stock_count,integer,YES,
dash_legacy_view,certificates_overview,jsonb,NO,
dash_legacy_view,certificates_count,integer,YES,
dash_legacy_view,certificates_expiring_soon,integer,YES,
dash_legacy_view,fault_history,jsonb,NO,
dash_legacy_view,faults_active_count,integer,YES,
dash_legacy_view,faults_resolved_30d,integer,YES,
dash_legacy_view,scheduled_maintenance,jsonb,NO,
dash_legacy_view,maintenance_upcoming_7d,integer,YES,
dash_legacy_view,maintenance_overdue,integer,YES,
dash_legacy_view,parts_usage,jsonb,NO,
dash_legacy_view,documents_summary,jsonb,NO,
dash_legacy_view,documents_total,integer,YES,
dash_legacy_view,generated_at,timestamptz,NO,
dash_legacy_view,valid_until,timestamptz,YES,
pms_part_usage,id,uuid,NO,"Note:
This is a Primary Key.<pk/>"
pms_part_usage,yacht_id,uuid,NO,
pms_part_usage,part_id,uuid,NO,"Note:
This is a Foreign Key to `pms_parts.id`.<fk "
pms_part_usage,quantity,integer,NO,Quantity used (deducted from inventory). Always po
